Id,AnlagenbetreiberId,AnlagenbetreiberMaStRNummer,AnlagenbetreiberName,BetriebsStatusId,BetriebsStatusName,DatumLetzteAktualisierung,EinheitMeldeDatum,EinheitName,InbetriebnahmeDatum,MaStRNummer,PersonenArtId,Typ,Ort,Plz,AnzahlSolarModule,Bruttoleistung,EnergietraegerName,Flurstueck,IsAnonymisiert,IsPilotwindanlage,LokationId,Nettonennleistung
8563881,5515306,ABR959797531238,,35,In Betrieb,2025-01-31,2025-01-31,,2024-10-22,SEE965037255840,518,1,Münster,48159,21,9.135,Solare Strahlungsenergie,,True,,8533347,8.0
9394538,5538946,ABR950651707172,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-29,SEE948005053303,518,1,Münster,48157,26,11.44,Solare Strahlungsenergie,,True,,8533359,8.0
9394931,5966737,ABR962620028478,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-01,SEE928883130976,518,1,Münster,48151,4,2.0,Solare Strahlungsenergie,,True,,8533603,0.8
9395365,5966359,ABR964732441220,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-28,SEE968285261991,517,1,Münster,48151,40,16.6,Solare Strahlungsenergie,,True,,8533943,10.0
9395879,5967154,ABR980064295010,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE988704187831,518,1,Münster,48161,4,2.0,Solare Strahlungsenergie,,True,,8534248,0.8
9395967,5967246,ABR938740154458,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-22,SEE910103775401,518,1,Münster,48149,56,24.64,Solare Strahlungsenergie,,True,,8534307,22.5
9395998,5967246,ABR938740154458,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-22,SEE910367631512,518,1,Münster,48149,11,4.84,Solare Strahlungsenergie,,True,,8534326,4.84
9396022,5967261,ABR901860802073,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-14,SEE983530763235,518,1,Münster,48159,14,5.23,Solare Strahlungsenergie,,True,,8534345,0.366
9396201,5967350,ABR997404697304,,35,In Betrieb,2025-01-31,2025-01-31,,2023-03-30,SEE970682974237,518,1,Münster,48149,23,7.475,Solare Strahlungsenergie,,True,,8534463,7.0
9396316,5967401,ABR937838433352,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-20,SEE973198722408,518,1,Münster,48165,15,5.87,Solare Strahlungsenergie,,True,,8534551,4.6
9396539,5967514,ABR975269240927,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE958462529655,518,1,Münster,48157,2,0.6,Solare Strahlungsenergie,,True,,8534716,0.6
9396894,5967677,ABR966508787396,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE932667229503,518,1,Münster,48157,17,7.48,Solare Strahlungsenergie,,True,,8534958,7.48
9396964,4370930,ABR911397853943,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE970596600826,518,1,Münster,48155,20,9.2,Solare Strahlungsenergie,,True,,8535008,9.2
9397617,5968023,ABR968439853287,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE984283155209,518,1,Münster,48167,2,1.0,Solare Strahlungsenergie,,True,,8535478,0.8
9398755,5968552,ABR977991297637,,35,In Betrieb,2025-01-31,2025-01-31,,2025-01-31,SEE983753553514,518,1,Münster,48151,2,0.8,Solare Strahlungsenergie,,True,,8536321,0.8
9399030,5968535,ABR955924071059,,31,In Planung,2025-01-31,2025-01-31,,,SEE998913805976,518,1,Münster,48161,10,2.0,Solare Strahlungsenergie,,True,,,0.6
9388138,5963548,ABR973722856517,,35,In Betrieb,2025-01-30,2025-01-30,,2025-01-29,SEE933915948269,518,1,Münster,48167,24,10.56,Solare Strahlungsenergie,,True,,8528919,10.0
9388272,5963606,ABR937903374634,,35,In Betrieb,2025-01-30,2025-01-30,,2025-01-29,SEE981574757456,518,1,Münster,48163,24,10.56,Solare Strahlungsenergie,,True,,8529008,10.0
9389808,4997765,ABR928176163346,,35,In Betrieb,2025-01-30,2025-01-30,,2023-12-20,SEE990958284310,518,1,Münster,48161,25,10.5,Solare Strahlungsenergie,,True,,8530040,10.5
9389843,3213402,ABR982354491614,,35,In Betrieb,2025-01-31,2025-01-30,,2025-01-30,SEE986166230461,518,1,Münster,48161,4,1.8,Solare Strahlungsenergie,,True,,8530062,0.8
9390377,5964610,ABR906792878561,,35,In Betrieb,2025-01-30,2025-01-30,,2024-11-28,SEE944307727454,518,1,Münster,48165,24,10.44,Solare Strahlungsenergie,,True,,8530393,10.0
9390403,5964621,ABR978719301612,,35,In Betrieb,2025-01-30,2025-01-30,,2024-01-01,SEE935509696983,518,1,Münster,48167,15,6.8,Solare Strahlungsenergie,,True,,8530410,6.8
9390777,5964771,ABR974373581629,,35,In Betrieb,2025-01-30,2025-01-30,,2025-01-30,SEE933587415045,518,1,Münster,48163,16,6.88,Solare Strahlungsenergie,,True,,8530658,6.0
9391753,5965235,ABR972131707601,,35,In Betrieb,2025-01-30,2025-01-30,,2024-06-24,SEE912745321527,518,1,Münster,48159,32,12.64,Solare Strahlungsenergie,,True,,8531353,12.64
9391774,1895796,ABR913469890818,,35,In Betrieb,2025-01-30,2025-01-30,,2025-01-17,SEE928267267168,517,1,Münster,48161,21,9.45,Solare Strahlungsenergie,,True,,8531366,9.45
9393415,5966026,ABR970718036625,,35,In Betrieb,2025-01-30,2025-01-30,,2025-01-08,SEE921682628804,518,1,Münster,48165,2,0.8,Solare Strahlungsenergie,,True,,8532539,0.8
8946007,5733201,ABR964528526858,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-28,SEE912567569992,517,1,Münster,48145,4,1.72,Solare Strahlungsenergie,,True,,8528132,0.8
9081720,1447484,ABR964371171229,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-29,SEE972178208918,518,1,Münster,48161,28,12.32,Solare Strahlungsenergie,,True,,8525928,10.0
9363952,5950170,ABR921311549371,,35,In Betrieb,2025-01-29,2025-01-29,,2024-06-21,SEE990994923136,518,1,Münster,48155,30,13.65,Solare Strahlungsenergie,,True,,8525407,10.65
9381465,3766734,ABR950564183216,,35,In Betrieb,2025-01-30,2025-01-29,,2025-01-18,SEE946335403270,518,1,Münster,48167,4,1.76,Solare Strahlungsenergie,,True,,8523968,0.8
9383043,5961049,ABR913168857891,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-29,SEE926936345629,518,1,Münster,48161,24,10.92,Solare Strahlungsenergie,,True,,8525384,10.0
9383124,1732467,ABR995586063504,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-20,SEE930962965126,518,1,Münster,48163,15,6.975,Solare Strahlungsenergie,,True,,8525436,6.0
9383276,2818138,ABR966474933735,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-29,SEE961964313608,518,1,Münster,48145,20,8.7,Solare Strahlungsenergie,,True,,8525551,8.0
9383377,5944224,ABR916424399883,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-27,SEE961735949302,518,1,Münster,48161,30,13.8,Solare Strahlungsenergie,,True,,8525623,12.0
9384048,5961258,ABR909160822142,,35,In Betrieb,2025-01-29,2025-01-29,,2025-01-15,SEE958953484012,518,1,Münster,48151,23,10.12,Solare Strahlungsenergie,,True,,8526064,10.0
9385399,5962164,ABR938182113143,,35,In Betrieb,2025-01-29,2025-01-29,,2024-12-13,SEE991613823844,518,1,Münster,48145,148,59.94,Solare Strahlungsenergie,,False,,8526979,58.0
